   1   1    .600   267   1   0   0  25   1   0
   1   2    .640   159   0   1   0  25   1   0
   1   3    .490   320   0   0   1  25   1   0
   2   1    .600   220   1   0   0  35   0   1
   2   2    .520   229   0   1   0  35   0   1
   2   3    .600   893   0   0   1  35   0   1
   3   1    .710   121   1   0   0  34   2   1
   3   3    .730   116   0   0   1  34   2   1
   4   1    .880   269   1   0   0  35   1   1
   4   2    .860   357   0   1   0  35   1   1
   5   1    .360   272   1   0   0  13   0   1
   5   2    .220   323   0   1   0  13   0   1
   6   1    .960   481   1   0   0  16   1   0
   6   3    .920   505   0   0   1  16   1   0
   7   1    .640   106   1   0   0  22   2   0
   7   2    .720    83   0   1   0  22   2   0
   8   1    .680   600   1   0   0  22   2   0
   8   2    .570   596   0   1   0  22   2   0
   9   1    .710  1483   1   0   0  37   1   1
   9   2    .730  1385   0   1   0  37   1   1
   9   3    .660  1376   0   0   1  37   1   1
  10   1    .970    89   1   0   0   0   2   0
  10   3    .820    89   0   0   1   0   2   0
  11   1    .730  2121   1   0   0  31   1   1
  11   2    .590  2939   0   1   0  31   1   0
  12   1    .870  1105   1   0   0  31   1   1
  12   2    .770   268   0   1   0  31   1   1
  14   1    .700   641   1   0   0  31   1   1
  14   2    .570   223   0   1   0  31   1   1
  14   3    .260   731   0   0   1  31   1   1
  16   1    .900   316   1   0   0  20   1   1
  16   2    .720   719   0   1   0  20   1   1
  16   3    .810  1206   0   0   1  20   1   1
  17   1    .890   154   1   0   0  20   1   1
  17   2    .790   361   0   1   0  20   1   1
  17   3    .750   699   0   0   1  20   1   1
  18   1    .990    20   1   0   0  24   2   0
  18   2    .990    20   0   1   0  24   2   0
  19   1    .640  1891   1   0   0  33   1   1
  19   2    .490   618   0   1   0  33   1   1
  20   1    .530  2689   1   0   0  38   0   1
  20   2    .570  2675   0   1   0  38   0   1
  21   1    .960 20732   1   0   0  31   2   1
  21   2    .930  1498   0   1   0  31   2   1
  25   1    .700   346   1   0   0  29   1   0
  25   2    .810   286   0   1   0  29   1   0
  25   3    .640   366   0   0   1  29   1   0
  26   2    .830   146   0   1   0  30   1   0
  26   3    .460   248   0   0   1  30   1   0
  28   1    .710   299   1   0   0  35   1   1
  28   2    .760   299   0   1   0  35   1   1
  28   3    .730   299   0   0   1  35   1   1
  29   1    .670   107   1   0   0  37   1   1
  29   3    .670   107   0   0   1  37   1   1
  30   3    .710   397   0   0   1  17   1   0
  32   1    .800   199   1   0   0  39   2   0
  32   2    .790   199   0   1   0  39   2   0
  32   3    .700   199   0   0   1  39   2   0
  33   1    .600   108   1   0   0   7   0   0
  33   2    .410   107   0   1   0   7   0   0
  34   2    .490   737   0   1   0  29   0   0
  34   3    .190   963   0   0   1  29   0   0
  35   1    .850  1126   1   0   0  15   1   1
  35   2    .870   391   0   1   0  15   1   1
  36   1    .840  1257   1   0   0  32   1   1
  36   2    .730  1084   0   1   0  32   1   1
  36   3    .690  1113   0   0   1  32   1   1
  39   1    .720  1163   1   0   0  36   1   0
  39   3    .660  1233   0   0   1  36   1   0
  40   1    .790  3485   1   0   0  18   2   1
  40   3    .790  1294   0   0   1  18   2   1
  42   2    .750    89   0   1   0  27   0   1
  42   3    .710   151   0   0   1  27   0   1
  45   1    .650    97   1   0   0  38   1   1
  45   3    .710    97   0   0   1  38   1   1
  48   2    .900   263   0   1   0  29   0   1
  48   3    .640   283   0   0   1  29   0   1
  50   3    .950   814   0   0   1  25   2   1
  51   3    .480  2327   0   0   1  18   1   1
  60   2    .770    79   0   1   0  31   1   1
  60   3    .300  2000   0   0   1  31   1   0
  61   1    .770   470   1   0   0  41   0   0
  61   2    .840   431   0   1   0  41   0   0
  62   1    .920   113   1   0   0  21   2   1
  62   3    .780   133   0   0   1  21   2   0
  64   1    .800   123   1   0   0  29   1   0
  64   2    .690   123   0   1   0  29   1   0
  71   1    .730  2055   1   0   0  41   2   1
  71   2    .650  1538   0   1   0  41   2   1
  72   1    .770  2597   1   0   0  41   1   1
  72   2    .780  1282   0   1   0  41   1   1
  73   1    .940  6383   1   0   0  31   2   0
  73   2    .940  6383   0   1   0  31   2   0
  74   1    .870  1680   1   0   0  35   2   1
  74   2    .620   940   0   1   0  35   2   1
  75   1    .790   408   1   0   0  40   1   1
  75   2    .860   533   0   1   0  40   1   1
  76   1    .640  2216   1   0   0  36   0   0
  76   2    .540   772   0   1   0  36   0   0
  77   1    .540    41   1   0   0  45   1   1
  77   2    .640    59   0   1   0  45   1   1
  77   3    .750    92   0   0   1  45   1   1
  78   1    .510   476   1   0   0  45   1   1
  78   2    .660   406   0   1   0  45   1   1
  78   3    .670   372   0   0   1  45   1   1
