1	3	-0.268	-0.264	0.086	0.81	23	24	47	0.9	11.6279069767442	0.293257565972304	1	1
2	1	-0.235	-0.23	0.106	0.756	18	20	38	0.75	9.43396226415094	0.325576411921994	1	1
3	2	0.168	0.166	0.055	0.243	33	41	74	0.75	18.1818181818182	0.234520787991171	1	1
4	4	0.176	0.173	0.084	0.279	26	22	48	0.9	11.9047619047619	0.289827534923789	1	1
5	3	0.228	0.225	0.071	0.204	29	28	57	0.75	14.0845070422535	0.266458251889485	1	1
6	6	0.295	0.291	0.078	0.155	30	23	53	0.75	12.8205128205128	0.279284800875379	1	1
7	7	0.312	0.309	0.051	0.093	37	43	80	0.9	19.6078431372549	0.225831795812724	1	1
8	9	0.442	0.435	0.093	0.085	35	16	51	0.9	10.752688172043	0.304959013639538	1	1
9	3	0.448	0.476	0.149	0.116	22	10	32	0.75	6.71140939597315	0.386005181312376	1	1
10	6	0.628	0.617	0.095	0.03	18	28	46	0.75	10.5263157894737	0.308220700148449	1	1
11	6	0.66	0.651	0.11	0.032	44	12	56	0.75	9.09090909090909	0.33166247903554	1	1
12	7	0.725	0.718	0.054	0.003	41	38	79	0.9	18.5185185185185	0.232379000772445	1	1
13	9	0.751	0.74	0.081	0.009	22	33	55	0.75	12.3456790123457	0.284604989415154	1	1
14	5	0.756	0.745	0.084	0.009	25	26	51	0.9	11.9047619047619	0.289827534923789	1	1
15	6	0.768	0.758	0.087	0.01	42	17	59	0.9	11.4942528735632	0.294957624075052	1	1
16	5	0.938	0.922	0.103	0.005	17	39	56	0.9	9.70873786407767	0.320936130717624	1	1
17	5	0.955	0.938	0.113	0.006	14	31	45	0.75	8.84955752212389	0.336154726279432	1	1
18	7	0.976	0.962	0.083	0.002	28	26	54	0.9	12.0481927710843	0.288097205817759	1	1
19	9	1.541	1.522	0.1	0.0001	50	16	66	0.9	10	0.316227766016838	1	1
20	9	1.877	1.844	0.141	0.00005	31	14	45	0.75	7.09219858156028	0.375499667110372	1	1
